NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
Throgs Neck,BRONX,459227.6666666667,486891.0,510074.5229818725,Condo_Walkup,473059.3333333334,37015.18964853912,0.07256819931360226,0.05681627578520308,0.04545124670478084
Tremont,BRONX,395461.3333333333,405091.3333333333,508635.51650793647,Condo_Walkup,400276.3333333333,108359.18317460315,0.2130389633790199,0.023772416755398373,0.20357245967700233
Unionport,BRONX,403046.6666666667,435112.6666666667,492032.4363127765,Condo_Walkup,419079.6666666667,72952.76964610984,0.1482682121382238,0.07369585501992587,0.11568296202717604
University Heights,BRONX,421703.6666666667,473080.6666666667,485717.63492063497,Condo_Walkup,447392.1666666667,38325.46825396828,0.07890483173465705,0.10860092922841912,0.026017108182685465
Van Nest,BRONX,438114.0,499950.0,520894.1675657676,Condo_Walkup,469032.0,51862.167565767595,0.0995637325104423,0.12368436843684369,0.04020810535015869
Wakefield,BRONX,404327.3333333333,416933.6666666667,464104.0217372515,Condo_Walkup,410630.5,53473.52173725149,0.11521882860891274,0.0302358248834148,0.10163746242494295
Westchester Square,BRONX,426120.0,663025.6666666666,501293.39877946133,Condo_Walkup,544572.8333333333,-43279.43455387192,-0.08633553655254145,0.3573099482825451,-0.32262995738820344
Williamsbridge,BRONX,383571.6666666667,419401.6666666667,476052.85016988235,Condo_Walkup,401486.6666666667,74566.18350321567,0.15663425495006755,0.08543122941015176,0.11900187864225442
Woodlawn,BRONX,489919.3333333333,495675.0,562719.291005291,Condo_Walkup,492797.1666666666,69922.12433862442,0.12425755693164421,0.011611775188715763,0.1191434025400431
Bath Beach,BROOKLYN,1004567.6666666666,1023942.0,1102253.4389709907,Condo_Walkup,1014254.8333333333,87998.60563765746,0.07983518356704661,0.018921319111173653,0.07104667239151315
Bay Ridge,BROOKLYN,1014207.0,1161004.6666666667,1285649.5180790962,Condo_Walkup,1087605.8333333335,198043.68474576273,0.15404173685038366,0.12644020380050158,0.09695087942681516
Bedford-Stuyvesant,BROOKLYN,987865.6666666666,1103125.6666666667,null,Condo_Walkup,1045495.6666666667,null,0.0,0.10448492269088723,0.0
Bensonhurst,BROOKLYN,915883.6666666666,1020387.3333333334,1203563.9557811974,Condo_Walkup,968135.5,235428.4557811974,0.1956094270274053,0.10241568397882903,0.15219517132263202
Bergen Beach,BROOKLYN,656975.3333333334,676585.3333333334,745191.0893141947,Condo_Walkup,666780.3333333334,78410.75598086137,0.10522234780480724,0.02898377933111172,0.09206464887281435
Boerum Hill,BROOKLYN,2813174.0,3068962.0,3203616.726551227,Condo_Walkup,2941068.0,262548.7265512268,0.08195385058869606,0.08334674720638444,0.04203209623524034
Borough Park,BROOKLYN,1024762.3333333334,1200167.3333333333,1294714.3243189482,Condo_Walkup,1112464.8333333333,182249.49098561495,0.14076425012249918,0.14615045346454458,0.07302536877032623
Brighton Beach,BROOKLYN,627761.3333333334,612376.3333333334,664179.7621794872,Condo_Walkup,620068.8333333334,44110.92884615378,0.066414141709776,-0.025123439889087808,0.07799609653290593
